Provider,Plan_Name,Data_GB,Validity_Days,Price_EUR,Is_Unlimited,Network_Speed,Local_Carrier,Cost_for_144_Days
Campus SIM,Student Plan A (20GB),20,150,18.85,False,5G,NTT Docomo,94.25
Campus SIM,Student Plan A (50GB),50,150,25.70,False,5G,NTT Docomo,128.50
Ubigi,Monthly Subscription,20,30,19.00,False,5G,Docomo / KDDI,95.00
Ubigi,Premium Unlimited,999,30,65.00,True,5G,Docomo / KDDI,325.00
Ubigi,Single Purchase 25GB,25,30,32,False,5G,Docomo / KDDI,153.60
Ubigi,Single Purchase 50GB,50,30,55,False,5G,Docomo / KDDI,264.00
Jetpac,Power 40GB,40,30,33.50,False,5G,Docomo/KDDI/Softbank,167.50
Jetpac,Unlimited Travel,999,30,63.00,True,5G,Docomo/KDDI/Softbank,315.00
Airalo,Standard 20GB,20,30,22.50,False,5G,SoftBank / KDDI,112.50
Holafly,Custom Duration,999,144,215.00,True,5G,SoftBank,215.00
Roamless,Fix 20GB,20,30,21.70,False,5G,KDDI,108.50
Saily,20GB Pack,20,30,23.60,False,5G,Various (Local),118.00
Sakura Mobile,Monthly Resident,20,30,25.00,False,4G/5G,NTT Docomo,125.00
Sakura Mobile,5G Unlimited,999,30,55.00,True,5G,NTT Docomo,275.00
